Country,Clicks,Impressions,CTR,Position
United States,81,22754,0.36%,36.98
India,2,142,1.41%,45.37
Philippines,2,142,1.41%,46.23
Pakistan,2,38,5.26%,21.32
United Kingdom,1,179,0.56%,41.28
Japan,1,9,11.11%,58
Vietnam,0,134,0%,35.6
Canada,0,97,0%,37.38
Indonesia,0,85,0%,37.72
Mexico,0,68,0%,40.72
Australia,0,59,0%,35.68
Brazil,0,58,0%,23.1
Thailand,0,54,0%,41.04
Bangladesh,0,53,0%,44.79
United Arab Emirates,0,48,0%,9.29
Turkey,0,37,0%,45.68
Russia,0,36,0%,35.5
Morocco,0,34,0%,42.29
Spain,0,32,0%,32.09
Malaysia,0,32,0%,36.5
China,0,28,0%,30
France,0,28,0%,38.43
Netherlands,0,27,0%,12.85
Ukraine,0,24,0%,44.67
Algeria,0,20,0%,46.4
Italy,0,19,0%,18.42
Germany,0,18,0%,18.06
Colombia,0,18,0%,18.78
Argentina,0,18,0%,32.89
Saudi Arabia,0,17,0%,33.88
Hong Kong,0,16,0%,5.81
Jordan,0,15,0%,57.53
Peru,0,11,0%,8.45
South Korea,0,11,0%,38.45
New Zealand,0,11,0%,69.45
South Africa,0,10,0%,34.1
Nigeria,0,7,0%,14.43
Israel,0,7,0%,34.14
Moldova,0,7,0%,35.29
Ecuador,0,6,0%,10.67
Portugal,0,6,0%,21
Bolivia,0,6,0%,22.83
Egypt,0,6,0%,28
Iraq,0,6,0%,34
Sweden,0,5,0%,10
Switzerland,0,5,0%,11.2
Finland,0,5,0%,11.6
Uruguay,0,5,0%,17.6
Tunisia,0,5,0%,23.2
Taiwan,0,5,0%,29
Kazakhstan,0,5,0%,30.8
Bulgaria,0,5,0%,31
Greece,0,5,0%,36.6
Poland,0,5,0%,44.2
Dominican Republic,0,4,0%,9.5
Romania,0,4,0%,13.25
Azerbaijan,0,4,0%,17.75
Uzbekistan,0,4,0%,26
Belgium,0,4,0%,27.75
Hungary,0,4,0%,30
Czechia,0,4,0%,30.75
Singapore,0,3,0%,9
Armenia,0,3,0%,10.33
Jamaica,0,3,0%,12.67
Chile,0,3,0%,17
Venezuela,0,3,0%,20
Montenegro,0,3,0%,29.33
Belize,0,2,0%,4
Austria,0,2,0%,4.5
Barbados,0,2,0%,5.5
Slovenia,0,2,0%,7.5
El Salvador,0,2,0%,8.5
Ireland,0,2,0%,10.5
Guatemala,0,2,0%,11.5
Slovakia,0,2,0%,14
Costa Rica,0,2,0%,24
Sri Lanka,0,2,0%,32
Ethiopia,0,2,0%,32.5
Togo,0,2,0%,34.5
Belarus,0,2,0%,36
Norway,0,1,0%,1
Somalia,0,1,0%,1
Yemen,0,1,0%,2
Serbia,0,1,0%,5
Denmark,0,1,0%,9
Senegal,0,1,0%,9
Guadeloupe,0,1,0%,10
Iran,0,1,0%,10
Kenya,0,1,0%,10
Laos,0,1,0%,10
Nepal,0,1,0%,10
Puerto Rico,0,1,0%,10
Iceland,0,1,0%,11
Lebanon,0,1,0%,11
Nicaragua,0,1,0%,12
Bosnia & Herzegovina,0,1,0%,19
Bahrain,0,1,0%,20
Honduras,0,1,0%,20
Myanmar (Burma),0,1,0%,23
Niger,0,1,0%,26
Aruba,0,1,0%,28
Burkina Faso,0,1,0%,28
Tajikistan,0,1,0%,28
Uganda,0,1,0%,29
Albania,0,1,0%,46
Botswana,0,1,0%,61
