Date,Clicks,Impressions,CTR,Position
2026-06-04,1,1,100%,2
2026-06-05,0,3,0%,2
2026-06-06,1,3,33.33%,1.3
2026-06-07,0,5,0%,6.2
2026-06-08,1,14,7.14%,2.7
2026-06-09,2,3,66.67%,1.7
2026-06-10,1,9,11.11%,4.6
2026-06-11,0,4,0%,7.2
2026-06-12,0,2,0%,6.5
2026-06-13,0,2,0%,7.5
2026-06-14,0,21,0%,70.3
2026-06-15,0,17,0%,45.7
2026-06-16,0,6,0%,51.5
2026-06-17,0,21,0%,28.1
2026-06-18,1,33,3.03%,19.8
2026-06-19,1,30,3.33%,32.3
2026-06-20,0,29,0%,51.2
2026-06-21,0,148,0%,58.7
2026-06-22,1,102,0.98%,55.3
2026-06-23,0,117,0%,51.1
2026-06-24,0,129,0%,56.3
2026-06-25,0,149,0%,55.1
2026-06-26,0,89,0%,54.4
2026-06-27,0,122,0%,57.4
2026-06-28,1,190,0.53%,54.1
2026-06-29,0,178,0%,36.8
2026-06-30,0,161,0%,53.5
2026-07-01,0,167,0%,54.8
2026-07-02,1,154,0.65%,44
2026-07-03,0,154,0%,48.7
2026-07-04,1,140,0.71%,51.7
2026-07-05,0,210,0%,51.1
2026-07-06,0,179,0%,42.2
2026-07-07,0,201,0%,45.3
2026-07-08,0,220,0%,47.3
2026-07-09,0,222,0%,51.5
2026-07-10,0,164,0%,48.6
2026-07-11,0,153,0%,52.8
2026-07-12,0,203,0%,53.7
2026-07-13,1,222,0.45%,53.8
2026-07-14,0,164,0%,46.5
2026-07-15,0,163,0%,42.9
2026-07-16,1,137,0.73%,45.7
2026-07-17,1,134,0.75%,41.1
2026-07-18,0,120,0%,49.5
2026-07-19,0,156,0%,53.2
2026-07-20,1,207,0.48%,48.6
2026-07-21,1,184,0.54%,38.6
2026-07-22,1,183,0.55%,35.9
2026-07-23,2,216,0.93%,39.1
2026-07-24,0,173,0%,35.9
2026-07-25,0,171,0%,37.5
2026-07-26,0,218,0%,37.2
2026-07-27,0,190,0%,35.6
2026-07-28,0,196,0%,39.3
2026-07-29,0,173,0%,40.1
2026-07-30,0,229,0%,35.2
2026-07-31,1,269,0.37%,50.8
2026-08-01,0,215,0%,41.4
2026-08-02,0,253,0%,44.5
2026-08-03,1,251,0.4%,36.9
2026-08-04,3,199,1.51%,28.9
2026-08-05,0,265,0%,34.1
2026-08-06,1,345,0.29%,39.3
2026-08-07,0,185,0%,36
2026-08-08,0,353,0%,40.1
2026-08-09,1,296,0.34%,39.5
2026-08-10,3,364,0.82%,38.4
2026-08-11,1,359,0.28%,30.3
2026-08-12,2,340,0.59%,31.9
2026-08-13,2,407,0.49%,32.3
2026-08-14,3,368,0.82%,34.2
2026-08-15,0,204,0%,35.2
2026-08-16,0,378,0%,31.2
2026-08-17,4,365,1.1%,28.2
2026-08-18,1,359,0.28%,32.4
2026-08-19,3,396,0.76%,30.6
2026-08-20,0,382,0%,34.1
2026-08-21,2,346,0.58%,41.6
2026-08-22,1,317,0.32%,30.6
2026-08-23,2,427,0.47%,32.2
2026-08-24,4,606,0.66%,44.6
2026-08-25,2,644,0.31%,48.2
2026-08-26,3,517,0.58%,47.3
2026-08-27,1,486,0.21%,30.3
2026-08-28,3,589,0.51%,36.8
2026-08-29,4,460,0.87%,32.5
2026-08-30,0,540,0%,34.7
2026-08-31,2,564,0.35%,32.4
2026-09-01,1,480,0.21%,28.2
2026-09-02,5,500,1%,25.2
2026-09-03,2,477,0.42%,25.7
