Country,Clicks,Impressions,CTR,Position
United States,72,18936,0.38%,39.15
Philippines,2,134,1.49%,48.57
Pakistan,2,31,6.45%,21.26
India,1,126,0.79%,49.16
Japan,1,9,11.11%,58
United Kingdom,0,158,0%,41.18
Vietnam,0,112,0%,39.93
Canada,0,82,0%,40.63
Indonesia,0,76,0%,40.86
Mexico,0,60,0%,45.17
Australia,0,55,0%,34.49
Thailand,0,51,0%,41.94
Bangladesh,0,48,0%,46.83
United Arab Emirates,0,44,0%,7.27
Brazil,0,37,0%,22.78
Turkey,0,35,0%,47.91
Spain,0,31,0%,32.55
Morocco,0,30,0%,40.67
China,0,28,0%,30
Malaysia,0,28,0%,39.5
France,0,26,0%,38.19
Russia,0,26,0%,40.69
Ukraine,0,22,0%,42.64
Netherlands,0,21,0%,14.19
Algeria,0,19,0%,43.74
Italy,0,17,0%,16.94
Germany,0,17,0%,17.94
Saudi Arabia,0,17,0%,33.88
Jordan,0,14,0%,57.57
Hong Kong,0,12,0%,4.42
Argentina,0,12,0%,31.25
Colombia,0,10,0%,16.6
South Korea,0,10,0%,38.1
New Zealand,0,10,0%,75.7
Peru,0,9,0%,9
Israel,0,6,0%,32.67
Moldova,0,6,0%,39.67
Sweden,0,5,0%,10
Nigeria,0,5,0%,12.6
Portugal,0,5,0%,18.4
South Africa,0,5,0%,21.8
Egypt,0,5,0%,22
Bulgaria,0,5,0%,31
Greece,0,5,0%,36.6
Iraq,0,5,0%,38.6
Ecuador,0,4,0%,12.75
Belgium,0,4,0%,27.75
Hungary,0,4,0%,30
Poland,0,4,0%,41.5
Romania,0,3,0%,16
Chile,0,3,0%,17
Venezuela,0,3,0%,17.67
Tunisia,0,3,0%,25
Taiwan,0,3,0%,27
Montenegro,0,3,0%,29.33
Bolivia,0,3,0%,35.67
Czechia,0,3,0%,38
Belize,0,2,0%,4
Austria,0,2,0%,4.5
Barbados,0,2,0%,5.5
Slovenia,0,2,0%,7.5
El Salvador,0,2,0%,8.5
Singapore,0,2,0%,10.5
Finland,0,2,0%,14
Slovakia,0,2,0%,14
Switzerland,0,2,0%,16
Uruguay,0,2,0%,19.5
Costa Rica,0,2,0%,24
Ethiopia,0,2,0%,32.5
Azerbaijan,0,1,0%,1
Somalia,0,1,0%,1
Yemen,0,1,0%,2
Serbia,0,1,0%,5
Togo,0,1,0%,7
Denmark,0,1,0%,9
Senegal,0,1,0%,9
Guadeloupe,0,1,0%,10
Ireland,0,1,0%,10
Jamaica,0,1,0%,10
Kenya,0,1,0%,10
Laos,0,1,0%,10
Puerto Rico,0,1,0%,10
Iceland,0,1,0%,11
Lebanon,0,1,0%,11
Bosnia & Herzegovina,0,1,0%,19
Dominican Republic,0,1,0%,19
Bahrain,0,1,0%,20
Honduras,0,1,0%,20
Kazakhstan,0,1,0%,22
Uzbekistan,0,1,0%,22
Myanmar (Burma),0,1,0%,23
Niger,0,1,0%,26
Aruba,0,1,0%,28
Burkina Faso,0,1,0%,28
Albania,0,1,0%,46
Sri Lanka,0,1,0%,56
Botswana,0,1,0%,61
